label,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S82,S83,S84,S85,S86,S87,S88,S89,S90,S91,S92,S93
4,0.00,0.02,0.58,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,3.27,6.93,0.74,42.44,33.93,35.74,3.75,3.41,2.60,0.27,0.25,0.19,0.52,0.50,0.43,0.31,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.40,0.40,0.32,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.24,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.24,0.91,-0.19,-1.00,1.00,-1.00,9.65,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.97,2.70,3.97,36.23,35.47,33.10,0.02,0.02,0.03,0.00,0.00,0.00,0.04,0.05,0.05,0.31,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.16,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.30,0.30,0.30,0.30,0.30,0.30,0.29,0.29,0.29,0.29,0.28,0.28,1.00,1.00,1.00,-0.29,-0.37,-0.13,9.30,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.97,2.69,3.96,37.00,40.63,33.93,0.02,0.02,0.03,0.00,0.00,0.00,0.04,0.04,0.05,0.31,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.16,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.30,0.30,0.30,0.30,0.30,0.29,0.29,0.29,0.29,0.28,0.28,0.28,1.00,1.00,1.00,-0.17,-0.35,-0.13,9.30,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,7.97,2.69,3.96,38.20,40.85,33.45,0.03,0.03,0.03,0.00,0.00,0.00,0.05,0.05,0.05,0.31,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.16,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.30,0.30,0.30,0.30,0.30,0.30,0.29,0.29,0.29,0.29,0.28,0.28,1.00,1.00,1.00,-0.24,-0.48,-0.10,9.30,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.06,2.62,3.85,38.04,34.91,37.12,0.07,0.03,0.11,0.01,0.00,0.01,0.08,0.06,0.10,0.31,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.16,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.20,0.21,0.30,0.30,0.30,0.30,0.30,0.30,0.29,0.29,0.29,0.29,0.28,0.28,1.00,1.00,1.00,-0.33,-0.87,0.25,9.31,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.10,2.61,3.77,37.12,37.50,36.30,0.02,0.03,0.03,0.00,0.00,0.00,0.05,0.05,0.05,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.21,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,1.00,1.00,1.00,-0.31,-0.43,-0.14,9.31,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.11,2.58,3.78,32.37,40.64,37.45,0.02,0.02,0.03,0.00,0.00,0.00,0.04,0.04,0.05,0.32,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.21,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,1.00,1.00,1.00,-0.14,-0.32,-0.02,9.30,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.11,2.58,3.77,34.11,37.31,41.91,0.02,0.02,0.03,0.00,0.00,0.00,0.05,0.05,0.05,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,1.00,1.00,1.00,-0.12,-0.45,-0.29,9.31,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.11,2.57,3.77,34.11,43.33,33.62,0.02,0.02,0.03,0.00,0.00,0.00,0.04,0.04,0.05,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.21,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,1.00,1.00,1.00,-0.12,-0.20,-0.32,9.30,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.12,2.56,3.77,37.45,43.33,34.82,0.03,0.03,0.04,0.00,0.00,0.00,0.05,0.05,0.07,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.19,0.21,0.30,0.30,0.30,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,1.00,1.00,1.00,-0.36,-0.67,-0.06,9.31,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.11,2.52,3.80,35.82,37.65,36.60,0.03,0.02,0.04,0.00,0.00,0.00,0.05,0.04,0.06,0.32,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.19,0.21,0.30,0.30,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,1.00,1.00,1.00,-0.24,-0.55,0.14,9.31,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.10,2.53,3.82,34.36,41.78,36.48,0.02,0.02,0.03,0.00,0.00,0.00,0.05,0.04,0.05,0.31,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.19,0.21,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,1.00,1.00,1.00,-0.17,-0.56,-0.07,9.30,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.10,2.55,3.80,36.92,34.91,38.00,0.03,0.02,0.04,0.00,0.00,0.00,0.05,0.04,0.06,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.19,0.19,0.21,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,1.00,1.00,1.00,0.05,-0.62,-0.29,9.31,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.12,2.52,3.78,33.62,35.38,35.96,0.02,0.02,0.03,0.00,0.00,0.00,0.04,0.04,0.05,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.19,0.21,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,1.00,1.00,1.00,-0.16,-0.16,-0.22,9.31,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.12,2.52,3.77,34.55,37.31,35.85,0.02,0.02,0.03,0.00,0.00,0.00,0.04,0.04,0.05,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.21,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,1.00,1.00,1.00,-0.06,-0.26,-0.02,9.30,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.12,2.52,3.78,35.28,36.11,37.69,0.02,0.02,0.03,0.00,0.00,0.00,0.04,0.04,0.05,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.19,0.21,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,1.00,1.00,1.00,-0.01,-0.30,-0.03,9.31,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.12,2.52,3.79,34.44,34.39,37.17,0.02,0.02,0.03,0.00,0.00,0.00,0.04,0.04,0.05,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.21,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,1.00,1.00,1.00,-0.16,-0.42,0.00,9.31,1610
4,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.14,2.51,3.75,35.64,37.12,34.64,0.02,0.02,0.03,0.00,0.00,0.00,0.05,0.04,0.05,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.19,0.20,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,1.00,1.00,1.00,-0.30,-0.58,0.11,9.31,1610
5,0.00,0.00,0.00,0.04,0.96,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.29,0.49,0.00,0.00,0.00,0.00,0.00,0.50,0.01,0.00,0.49,0.00,0.00,0.00,0.00,0.00,5.45,6.46,2.05,53.33,49.49,41.96,0.22,1.48,3.52,0.03,0.11,0.25,0.16,0.32,0.50,0.27,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.30,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.40,0.40,0.40,0.39,0.28,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.97,0.50,0.30,-0.04,-0.09,-0.99,9.51,1610
5,0.00,0.00,0.00,0.10,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.94,0.00,0.00,0.00,0.00,0.00,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,7.87,-1.01,59.06,52.78,48.72,0.29,0.21,0.36,0.03,0.02,0.03,0.16,0.14,0.18,0.27,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.13,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.99,-0.90,-0.92,-0.91,0.46,-0.37,9.71,1610
5,0.00,0.00,0.00,0.04,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.87,0.00,0.00,0.00,0.00,0.00,0.96,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.66,7.80,-0.90,53.71,45.37,46.92,0.32,0.24,0.40,0.03,0.02,0.04,0.17,0.15,0.19,0.27,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.31,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.16,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.20,0.99,-0.85,-0.87,-0.79,0.31,-0.25,9.71,1610
5,0.00,0.00,0.00,0.04,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.85,0.00,0.00,0.00,0.00,0.00,0.98,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,7.76,-1.00,51.94,51.43,42.50,0.30,0.23,0.29,0.03,0.02,0.03,0.17,0.15,0.16,0.28,0.40,0.40,0.40,0.40,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.31,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.40,0.13,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.99,-0.92,-0.94,-0.94,0.63,-0.55,9.71,1610
5,0.00,0.00,0.00,0.03,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.95,0.00,0.00,0.00,0.00,0.00,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.65,7.81,-1.05,45.81,46.10,46.43,0.26,0.20,0.26,0.02,0.02,0.02,0.16,0.14,0.16,0.27,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.31,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.10,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,1.00,-0.94,-0.95,-0.92,0.62,-0.53,9.71,1610
5,0.00,0.00,0.00,0.02,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.96,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.63,7.82,-1.02,49.49,47.75,47.07,0.22,0.16,0.24,0.02,0.01,0.02,0.14,0.12,0.15,0.27,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.31,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.40,0.08,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.10,0.10,0.10,1.00,-0.95,-0.96,-0.90,0.57,-0.47,9.70,1610
5,0.00,0.00,0.00,0.04,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.94,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,7.84,-1.15,47.80,55.15,39.58,0.24,0.18,0.28,0.02,0.02,0.03,0.15,0.13,0.16,0.27,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.31,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.09,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,1.00,-0.95,-0.96,-0.90,0.35,-0.18,9.71,1610
5,0.00,0.00,0.00,0.07,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.99,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.51,7.90,-1.11,46.43,46.34,41.06,0.27,0.18,0.30,0.02,0.02,0.03,0.15,0.12,0.17,0.26,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.12,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,1.00,-0.93,-0.95,-0.87,0.62,-0.44,9.71,1610
5,0.00,0.00,0.00,0.01,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.83,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.73,7.73,-1.16,52.16,51.39,43.11,0.26,0.20,0.29,0.02,0.02,0.03,0.15,0.13,0.16,0.27,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.31,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.13,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,1.00,-0.94,-0.96,-0.89,0.71,-0.57,9.71,1610
5,0.00,0.00,0.00,0.02,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.90,0.00,0.00,0.00,0.00,0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.62,7.82,-1.15,47.56,47.07,40.21,0.25,0.20,0.26,0.02,0.02,0.02,0.15,0.14,0.16,0.27,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.32,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.14,0.20,0.20,0.20,0.20,0.20,0.19,0.19,0.19,0.19,0.19,0.19,0.18,1.00,-0.94,-0.96,-0.92,0.64,-0.56,9.72,1610
5,0.00,0.00,0.00,0.12,0.87,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.91,0.00,0.00,0.00,0.00,0.02,0.98,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.54,7.87,-1.28,47.44,45.35,45.95,0.34,0.24,0.31,0.03,0.02,0.03,0.19,0.16,0.17,0.28,0.40,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.32,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.16,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.99,-0.94,-0.96,-0.74,0.39,-0.26,9.73,1610
5,0.00,0.00,0.00,0.03,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.91,0.00,0.00,0.00,0.00,0.01,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,7.74,-1.34,42.73,43.11,45.00,0.21,0.15,0.27,0.02,0.01,0.03,0.14,0.12,0.16,0.27,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.31,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.19,1.00,-0.96,-0.97,-0.89,0.36,-0.22,9.73,1610
5,0.00,0.00,0.00,0.02,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.79,0.00,0.00,0.00,0.00,0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.78,7.70,-1.17,51.67,51.89,45.71,0.27,0.23,0.29,0.03,0.02,0.03,0.16,0.15,0.17,0.28,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.31,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.13,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.99,-0.93,-0.96,-0.90,0.73,-0.59,9.72,1610
5,0.00,0.00,0.00,0.01,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.90,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.68,7.76,-1.21,53.33,46.83,51.62,0.27,0.19,0.28,0.02,0.02,0.03,0.15,0.13,0.16,0.27,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.31,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.40,0.11,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,1.00,-0.94,-0.96,-0.93,0.76,-0.63,9.71,1610
5,0.00,0.00,0.00,0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.93,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.73,7.74,-1.15,46.67,47.07,44.55,0.19,0.15,0.21,0.02,0.01,0.02,0.13,0.12,0.14,0.27,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.31,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.40,0.10,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,1.00,-0.96,-0.97,-0.89,0.62,-0.44,9.71,1610
5,0.00,0.00,0.00,0.03,0.97,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.90,0.00,0.00,0.00,0.00,0.02,0.96,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,5.75,7.71,-1.22,48.46,51.32,43.11,0.31,0.23,0.39,0.04,0.03,0.05,0.21,0.17,0.22,0.30,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.40,0.40,0.39,0.32,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.20,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.99,-0.84,-0.88,-0.20,0.72,-0.12,9.73,1610
5,0.00,0.00,0.00,0.02,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.83,0.00,0.00,0.00,0.00,0.01,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.70,7.74,-1.37,56.47,61.29,49.21,0.32,0.23,0.37,0.03,0.02,0.03,0.17,0.15,0.18,0.27,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.31,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.16,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.99,-0.93,-0.95,-0.90,0.65,-0.48,9.73,1610
5,0.00,0.00,0.00,0.03,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.87,0.00,0.00,0.00,0.00,0.02,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.66,7.76,-1.48,53.33,48.72,44.39,0.28,0.19,0.39,0.02,0.02,0.03,0.15,0.13,0.18,0.27,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.31,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.41,0.14,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.19,0.19,0.19,0.19,0.18,1.00,-0.94,-0.96,-0.84,0.64,-0.42,9.74,1610
